location,year_week,new_cases,positivity_rate,people_vaccinated,cases_norm,positivity_z,vacc_norm,risk_score,risk_level
Russia,2020-07-13/2020-07-19,44384.0,0.0229714285714285,,0.1499071923620677,-0.6137562666998264,,-0.13986109716390538,Low
Russia,2020-07-20/2020-07-26,40939.0,0.0218285714285714,,0.13795383923833038,-0.6377664858128063,,-0.15424135041531697,Low
Russia,2020-07-27/2020-08-02,38385.0,0.0209857142857142,,0.1290920500139399,-0.6554740224086306,,-0.16486988283605075,Low
Russia,2020-08-03/2020-08-09,36666.0,0.0199571428571428,,0.1231275176424727,-0.6770832196103127,,-0.17541536804237307,Low
Russia,2020-08-10/2020-08-16,35317.0,0.0189285714285714,,0.1184467996848757,-0.6986924168119947,,-0.18531894604176027,Low
Russia,2020-08-17/2020-08-23,33896.0,0.0178714285714285,,0.11351625838187694,-0.7209018694915027,,-0.19555752513108743,Low
Russia,2020-08-24/2020-08-30,33577.0,0.0171,,0.11240940217099966,-0.7371087673927632,,-0.20178336750196726,Low
Russia,2020-08-31/2020-09-06,35179.0,0.0165428571428571,,0.11796797160618898,-0.7488137492103422,,-0.20310082642052524,Low
Russia,2020-09-07/2020-09-13,37306.0,0.0170428571428571,,0.12534816960159953,-0.7383092783484131,,-0.1957341626211448,Low
Russia,2020-09-14/2020-09-20,40588.0,0.0176571428571428,,0.13673595042949677,-0.7254037855751864,,-0.18552334973656684,Low
Russia,2020-09-21/2020-09-27,48039.0,0.0191,,0.16258919690989354,-0.695090883945047,,-0.16198721092581966,Low
Russia,2020-09-28/2020-10-04,63563.0,0.0225,,0.2164538859934635,-0.6236604820839295,,-0.11005422573264359,Low
Russia,2020-10-05/2020-10-11,83717.0,0.0257,,0.28638360409384156,-0.5564318685675835,,-0.051559351951733445,Low
Russia,2020-10-12/2020-10-18,100616.0,0.0301142857142857,,0.34501922512084804,-0.463692397243696,,0.010217273525130438,Low
Russia,2020-10-19/2020-10-25,114543.0,0.0312857142857142,,0.39334269361265933,-0.43908192265289225,,0.04299267387781738,Low
Russia,2020-10-26/2020-11-01,122904.0,0.0321714285714285,,0.4223534295974396,-0.42047400284033204,,0.0640108138046036,Low
Russia,2020-11-02/2020-11-08,137553.0,0.0350428571428571,,0.47318207108064075,-0.36014832731896745,,0.11053912097868177,Low
Russia,2020-11-09/2020-11-15,151491.0,0.0381428571428571,,0.5215437070279996,-0.29502060797500723,,0.15751464072274726,Low
Russia,2020-11-16/2020-11-22,163504.0,0.0399142857142857,,0.5632260382545472,-0.25780476834988664,,0.19138135020481328,Low
Russia,2020-11-23/2020-11-29,179987.0,0.0475714285714285,,0.6204182355081213,-0.09693630029291728,,0.2762814126515396,Low
Russia,2020-11-30/2020-12-06,191454.0,0.0541571428571428,,0.6602060730320388,0.041422587345634164,,0.3446009420869914,Low
Russia,2020-12-07/2020-12-13,193158.0,0.0575142857142857,,0.666118558873214,0.11195260599001579,,0.3722426915331125,Low
Russia,2020-12-14/2020-12-20,194449.0,0.0571,28500.0,0.6705980302470151,0.10324890156156058,-0.06648349275557504,0.38140865458339,Low
Russia,2020-12-21/2020-12-27,201871.0,0.0619,52000.0,0.696350653435514,0.2040918218360794,-0.06620115243294025,0.42953763722532584,Low
Russia,2020-12-28/2021-01-03,186539.0,0.0672571428571428,800000.0,0.6431521599396821,0.3166397239281751,-0.057214320035884274,0.44098213135008496,Low
Russia,2021-01-04/2021-01-10,165167.0,0.0861142857142857,,0.5689962635795909,0.7128083392923573,,0.5339810505421205,Moderate
