location,year_week,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
India,2023-05-01/2023-05-07,18690.0,13074.0,967.0,0.0,1.8571428571428572,2206651926.0,1027405436.0,951968991.0,227277499.0,155.71,72.5,67.17,16.04
India,2023-05-08/2023-05-14,13187.0,12376.0,749.0,0.0,1.0,2206664302.0,1027406191.0,951970333.0,227287778.0,155.71,72.5,67.17,16.04
India,2023-05-15/2023-05-21,8626.0,6475.0,775.0,0.0,1.0,2206670777.0,1027406959.0,951972429.0,227291389.0,155.71,72.5,67.17,16.04
India,2023-05-22/2023-05-28,7904.0,8963.0,791.0,0.0,1.0,2206679740.0,1027407858.0,951975120.0,227296762.0,155.71,72.5,67.17,16.04
India,2023-05-29/2023-06-04,8211.0,5961.0,916.0,0.0,1.0,2206685701.0,1027408671.0,951976486.0,227300544.0,155.71,72.5,67.17,16.04
India,2023-06-05/2023-06-11,15155.0,15678.0,1484.0,0.0,1.8571428571428572,2206703190.0,1027410359.0,951977546.0,227315285.0,155.71,72.5,67.17,16.04
India,2023-06-12/2023-06-18,6051.0,3468.0,929.0,0.0,0.42857142857142855,2206706658.0,1027411089.0,951978113.0,227317456.0,155.71,72.5,67.17,16.04
India,2023-06-19/2023-06-25,3067.0,2739.0,700.0,0.0,0.0,2206709397.0,1027411731.0,951978605.0,227319061.0,155.71,72.5,67.17,16.04
India,2023-06-26/2023-07-02,2696.0,2498.0,636.0,0.0,0.0,2206711895.0,1027412316.0,951979039.0,227320540.0,155.71,72.5,67.17,16.04
India,2023-07-03/2023-07-09,3529.0,4511.0,563.0,0.0,0.0,2206716406.0,1027412861.0,951979378.0,227324167.0,155.71,72.5,67.17,16.04
India,2023-07-10/2023-07-16,4366.0,3815.0,536.0,0.0,0.0,2206720221.0,1027413423.0,951980435.0,227326363.0,155.71,72.5,67.17,16.04
India,2023-07-17/2023-07-23,3061.0,2729.0,556.0,0.0,0.0,2206722950.0,1027413946.0,951981196.0,227327808.0,155.71,72.5,67.17,16.04
India,2023-07-24/2023-07-30,2761.0,2702.0,512.0,0.0,0.0,2206725652.0,1027414450.0,951981666.0,227329536.0,155.71,72.5,67.17,16.04
India,2023-07-31/2023-08-06,2442.0,2459.0,553.0,0.0,0.0,2206728111.0,1027415093.0,951982084.0,227330934.0,155.71,72.5,67.17,16.04
India,2023-08-07/2023-08-13,2448.0,1481.0,578.0,0.0,0.0,2206730432.0,1027415564.0,951982474.0,227332394.0,155.71,72.5,67.17,16.04
India,2023-08-14/2023-08-20,2498.0,3235.0,423.0,0.0,0.0,2206733667.0,1027416011.0,951982961.0,227334695.0,155.71,72.5,67.17,16.04
India,2023-08-21/2023-08-27,5235.0,5894.0,589.0,0.0,0.5714285714285714,2206739561.0,1027416599.0,951984303.0,227338659.0,155.71,72.5,67.17,16.04
India,2023-08-28/2023-09-03,3106.0,1021.0,420.0,0.0,0.2857142857142857,2206740582.0,1027416886.0,951984538.0,227339158.0,155.71,72.5,67.17,16.04
India,2023-09-04/2023-09-10,929.0,933.0,291.0,0.0,0.0,2206741515.0,1027417208.0,951984744.0,227339563.0,155.71,72.5,67.17,16.04
India,2023-09-11/2023-09-17,953.0,1099.0,303.0,0.0,0.0,2206742614.0,1027417545.0,951985003.0,227340066.0,155.71,72.5,67.17,16.04
India,2023-09-18/2023-09-24,1010.0,890.0,319.0,0.0,0.0,2206743504.0,1027417843.0,951985202.0,227340459.0,155.71,72.5,67.17,16.04
India,2023-09-25/2023-10-01,878.0,806.0,340.0,0.0,0.0,2206744310.0,1027418163.0,951985356.0,227340791.0,155.71,72.5,67.17,16.04
India,2023-10-02/2023-10-08,706.0,751.0,254.0,0.0,0.0,2206745072.0,1027418442.0,951985548.0,227341082.0,155.71,72.5,67.17,16.04
India,2023-10-09/2023-10-15,932.0,932.0,324.0,0.0,0.0,2206746004.0,1027418758.0,951985745.0,227341501.0,155.71,72.5,67.17,16.04
India,2023-10-16/2023-10-22,839.0,773.0,305.0,0.0,0.0,2206746777.0,1027419033.0,951985939.0,227341805.0,155.71,72.5,67.17,16.04
India,2023-10-23/2023-10-29,620.0,567.0,199.0,0.0,0.0,2206747344.0,1027419205.0,951986093.0,227342046.0,155.71,72.5,67.18,16.04
India,2023-10-30/2023-11-05,664.0,720.0,196.0,0.0,0.0,2206748064.0,1027419409.0,951986324.0,227342331.0,155.71,72.5,67.18,16.04
India,2023-11-06/2023-11-12,709.0,624.0,198.0,0.0,0.0,2206748688.0,1027419581.0,951986490.0,227342617.0,155.71,72.5,67.18,16.04
India,2023-11-13/2023-11-19,512.0,540.0,143.0,0.0,0.0,2206749228.0,1027419729.0,951986658.0,227342841.0,155.71,72.5,67.18,16.04
India,2023-11-20/2023-11-26,638.0,627.0,200.0,0.0,0.0,2206749855.0,1027419942.0,951986809.0,227343104.0,155.71,72.5,67.18,16.04
India,2023-11-27/2023-12-03,609.0,618.0,200.0,0.0,0.0,2206750473.0,1027420150.0,951986973.0,227343350.0,155.71,72.5,67.18,16.04
India,2023-12-04/2023-12-10,558.0,542.0,192.0,0.0,0.0,2206751015.0,1027420329.0,951987078.0,227343608.0,155.71,72.5,67.18,16.04
India,2023-12-11/2023-12-17,487.0,570.0,157.0,0.0,0.0,2206751585.0,1027420507.0,951987225.0,227343853.0,155.72,72.5,67.18,16.04
India,2023-12-18/2023-12-24,678.0,54.0,206.0,0.0,0.0,2206751639.0,1027420529.0,951987234.0,227343882.0,155.72,72.5,67.18,16.04
India,2023-12-25/2023-12-31,873.0,0.0,255.0,0.0,0.0,2206751639.0,1027420529.0,951987234.0,227343882.0,155.72,72.5,67.18,16.04
India,2024-01-01/2024-01-07,905.0,237.0,259.0,0.0,0.0,2206754170.0,1027421227.0,951987683.0,227345260.0,155.72,72.5,67.18,16.04
India,2024-01-08/2024-01-14,1196.0,1374.0,228.0,0.0,0.0,2206755544.0,1027421445.0,951987870.0,227346229.0,155.72,72.5,67.18,16.04
